Index: 0, Sentence: ルフィが山賊に囲まれ、危機的な状況に追い込まれる。, Is First Line: True, Length: 24 
Index: 60, Sentence: ルフィは山賊たちに囲まれ、恐怖に見舞われる。, Is First Line: False, Length: 21 
Index: 61, Sentence: 仲間の支援を待ちながら、絶望的な状況を耐え忍んでいた。, Is First Line: False, Length: 26 
Index: 62, Sentence: 周囲がざわめく中、突然シャンクスたちが現れ、戦いが始まる。, Is First Line: False, Length: 28 
Index: 63, Sentence: 山賊が仲間を失い、咄嗟にルフィを人質に取って逃げようとする。, Is First Line: False, Length: 29 
Index: 64, Sentence: ルフィは海へ蹴り落とされ、目の前に迫る怪物に遭遇する。, Is First Line: False, Length: 26 
Index: 65, Sentence: 逃げようとするが、怪物の牙が迫り、命の危機を感じる。, Is First Line: False, Length: 25 
Index: 66, Sentence: シャンクスが駆けつけ、勇敢に怪物に立ち向かうが、その代償として腕を失ってしまう。, Is First Line: False, Length: 39 
Index: 67, Sentence: ルフィが山賊に囲まれ、危険な状況に置かれる。, Is First Line: False, Length: 21 
Index: 68, Sentence: 彼の叫び声が夜の静寂を破り、絶望感が漂う。, Is First Line: False, Length: 20 
Index: 69, Sentence: すると、シャンクスの一団が颯爽と現れ、希望の光が差し込む。, Is First Line: False, Length: 28 
Index: 70, Sentence: 山賊は仲間を倒され、焦りからルフィを人質に海へ逃げる。, Is First Line: False, Length: 26 
Index: 71, Sentence: 無情にもルフィは海に蹴り落とされ、命の危機が迫る。, Is First Line: False, Length: 24 
Index: 72, Sentence: だが、その瞬間、海の怪物が現れ、山賊を飲み込んでいく。, Is First Line: False, Length: 26 
Index: 73, Sentence: ルフィも怪物の餌食になりかけ、恐怖する。, Is First Line: False, Length: 19 
Index: 74, Sentence: シャンクスが再び駆けつけ、必死に助けようとするが、その代償として腕を失ってしまう。, Is First Line: False, Length: 40 
Index: 75, Sentence: ルフィは山賊に囲まれ、恐怖に怯えていた。, Is First Line: False, Length: 19 
Index: 76, Sentence: 突然、シャンクスの一団が現れ、状況が一変する。, Is First Line: False, Length: 22 
Index: 77, Sentence: 仲間を失った山賊はルフィを人質に海へ逃げ出す。, Is First Line: False, Length: 22 
Index: 78, Sentence: 海辺でルフィは蹴り飛ばされ、恐怖の海へ落ちていく。, Is First Line: False, Length: 24 
Index: 79, Sentence: だが、山賊は瞬時に海の怪物に食べられてしまう。, Is First Line: False, Length: 22 
Index: 80, Sentence: ルフィも怪物の餌になりそうだったが、シャンクスが再び助けに現れる。, Is First Line: False, Length: 32 
Index: 81, Sentence: シャンクスは勇敢に怪物と対峙し、ルフィを守るが腕を失ってしまう。, Is First Line: False, Length: 31 
Index: 82, Sentence: ルフィは山賊に襲われ、絶体絶命の危機に陥る。, Is First Line: False, Length: 21 
Index: 83, Sentence: すると、そこへ海賊シャンクスの仲間たちが駆けつけてきた。, Is First Line: False, Length: 27 
Index: 84, Sentence: 仲間を倒された山賊は、ルフィを人質に海へ逃げようとする。, Is First Line: False, Length: 27 
Index: 85, Sentence: 山賊がルフィを海に蹴り落とす瞬間、彼は恐れを抱くがすぐに怪物が現れる。, Is First Line: False, Length: 34 
Index: 86, Sentence: 山賊は怪物に飲み込まれ、ルフィも次に狙われてしまうが、シャンクスが間一髪で助けに来る。, Is First Line: False, Length: 42 
Index: 87, Sentence: 彼は怪物を撃退するが、ルフィを庇ったことで腕を失ってしまう。, Is First Line: False, Length: 29 
Index: 88, Sentence: ルフィは山賊に捕らえられ、必死に抵抗する。, Is First Line: False, Length: 20 
Index: 89, Sentence: 仲間たちがやられ、山賊は彼を奪って逃げる。, Is First Line: False, Length: 20 
Index: 90, Sentence: 一番危険な瞬間、ルフィは海に蹴り落とされた。, Is First Line: False, Length: 21 
Index: 91, Sentence: 山賊はその瞬間、恐ろしい海の怪物に襲われた。, Is First Line: False, Length: 21 
Index: 92, Sentence: ルフィも怪物に捕まるが、シャンクスが駆けつけて助け出す。, Is First Line: False, Length: 27 
Index: 93, Sentence: シャンクスは勇敢に怪物と戦うが、ルフィを庇い腕を失ってしまう。, Is First Line: False, Length: 30 
Index: 94, Sentence: ルフィは山賊に囲まれ、恐怖の表情を浮かべている。, Is First Line: False, Length: 23 
Index: 95, Sentence: 仲間の助けを求める声が響く中、シャンクスが登場し、状況は一変する。, Is First Line: False, Length: 32 
Index: 96, Sentence: 山賊は慌ててルフィを人質に取り、海へ逃げようとするが、運命が待ち受けていた。, Is First Line: False, Length: 37 
Index: 97, Sentence: ルフィは海に蹴り落とされ、驚愕の中で怪物の恐怖に直面する。, Is First Line: False, Length: 28 
Index: 98, Sentence: 直後、怪物が襲いかかろうとした瞬間、シャンクスが再び現れ、彼を救い出そうとする。, Is First Line: False, Length: 39 
Index: 99, Sentence: だが、シャンクスはルフィを守るために腕を失ってしまう。, Is First Line: False, Length: 26 
Index: 100, Sentence: ルフィは山賊に襲われ、絶体絶命のピンチに立たされる。, Is First Line: False, Length: 25 
Index: 101, Sentence: 突然、海賊シャンクスが仲間たちと共に現れ、危機を救おうとする。, Is First Line: False, Length: 30 
Index: 102, Sentence: 山賊は仲間を失い、ルフィを人質に逃げ出すが、海に蹴り落とされる。, Is First Line: False, Length: 31 
Index: 103, Sentence: 恐ろしい海の怪物が現れ、山賊は一瞬で飲み込まれてしまう。, Is First Line: False, Length: 27 
Index: 104, Sentence: ルフィもまた怪物の餌食になりかけるが、シャンクスが再び駆けつけて助ける。, Is First Line: False, Length: 35 
Index: 105, Sentence: 戦闘の末、シャンクスは怪物を撃退するが、ルフィを庇ったことで腕を失ってしまう。, Is First Line: False, Length: 38 
Index: 106, Sentence: ルフィは絶望的な状況に陥り、叫び声を上げる。, Is First Line: False, Length: 21 
Index: 107, Sentence: 山賊たちがルフィを人質として海へと引きずり込む。, Is First Line: False, Length: 23 
Index: 108, Sentence: 彼は垂れ流す恐怖と共に、海に蹴り落とされてしまう。, Is First Line: False, Length: 24 
Index: 109, Sentence: 波間から現れた怪物がルフィを狙い、彼はその大きな口に飲み込まれそうになる。, Is First Line: False, Length: 36 
Index: 110, Sentence: だが、シャンクスが駆けつけ、間一髪のところで救出する。, Is First Line: False, Length: 26 
Index: 111, Sentence: シャンクスは怪物と対峙し、勇敢に戦うが、その代償に腕を失ってしまう。, Is First Line: False, Length: 33 
Index: 112, Sentence: ルフィが山賊に囲まれ、恐怖に震えている。, Is First Line: False, Length: 19 
Index: 113, Sentence: シャンクスの一団が颯爽と現れ、彼を救おうとする。, Is First Line: False, Length: 23 
Index: 114, Sentence: 仲間を倒された山賊は、ルフィを抱えて海へと逃げる。, Is First Line: False, Length: 24 
Index: 115, Sentence: 山賊がルフィを蹴り落とし、彼は海面に落ちた瞬間だった。, Is First Line: False, Length: 26 
Index: 116, Sentence: 突如現れた海の怪物が山賊を襲い、食べてしまう。, Is First Line: False, Length: 22 
Index: 117, Sentence: ルフィも危機に陥り、怪物に飲み込まれそうになる。, Is First Line: False, Length: 23 
Index: 118, Sentence: シャンクスが再び現れ、勇敢にルフィを救おうとするが。, Is First Line: False, Length: 25 
Index: 119, Sentence: 突如、怪物に腕を失いながらも勝利を収めるのだった。, Is First Line: False, Length: 24 
Index: 120, Sentence: ルフィは山賊に襲われ、絶体絶命の危機に直面する。, Is First Line: False, Length: 23 
Index: 121, Sentence: 彼の叫び声が海に響く中、シャンクスの一団が駆けつけて助けを求める。, Is First Line: False, Length: 32 
Index: 122, Sentence: 捕まった仲間を奪還するため、山賊はルフィを人質に取り、海に逃げようとする。, Is First Line: False, Length: 36 
Index: 123, Sentence: だが、山賊はその瞬間、海の怪物に襲われて食べられてしまう。, Is First Line: False, Length: 28 
Index: 124, Sentence: ルフィも危険にさらされ、猛スピードで迫る怪物に飲み込まれそうになる。, Is First Line: False, Length: 33 
Index: 125, Sentence: そこへ、シャンクスが間一髪で救い出し、勇敢に怪物と対峙する。, Is First Line: False, Length: 29 
Index: 126, Sentence: しかし彼はルフィを守るため、腕を失うことになった。, Is First Line: False, Length: 24 
Index: 127, Sentence: ルフィは山賊に囲まれ、恐怖が広がる。, Is First Line: False, Length: 17 
Index: 128, Sentence: シャンクスの一団が突如現れ、希望が灯る。, Is First Line: False, Length: 19 
Index: 129, Sentence: 山賊はルフィを人質にして逃げようとする。, Is First Line: False, Length: 19 
Index: 130, Sentence: 海へ蹴り落とされ、運命が揺らぐ。, Is First Line: False, Length: 15 
Index: 131, Sentence: 瞬間、怪物が山賊を飲み込む運命を迎える。, Is First Line: False, Length: 19 
Index: 132, Sentence: ルフィもまた、その怪物に捉えられそうになるが、シャンクスが駆けつける。, Is First Line: False, Length: 34 
Index: 133, Sentence: 果敢に怪物に立ち向かうシャンクスは、ルフィを守るため腕を失う。, Is First Line: False, Length: 30 
